ticker,sig,n_ins,ceo_cfo,value,adv,ex_spy,ex_iwm
SOFI,2023-11-09,2,True,398335.5,284725418.27085495,1104.0339716761807,520.1437670659983
ZBRA,2023-11-09,2,True,350480.21,122047461.96159363,1278.5242635255868,694.6340589154044
AMRC,2023-11-13,2,True,1238655.9,20730554.4857502,3023.4155706902347,2675.322647551241
CNP,2023-11-13,2,True,1272540.0,154505778.29281807,521.87133070002,173.77840756102603
DMLP,2023-11-13,2,True,350143.15,2866970.0558280945,116.76896640797172,-231.32395673102226
EMR,2023-11-13,3,False,983685.0,338605432.01969147,-9.271212299399034,-357.364135438393
ERII,2023-11-13,4,True,401668.5,13304521.627607346,-701.8631996327557,-1049.9561227717497
HAIN,2023-11-13,2,True,363725.0,12277163.395957947,-1162.095815982633,-1510.1887391216267
PETS,2023-11-13,3,True,451497.88,5452770.542609692,-1023.3372415961604,-1371.4301647351544
RILY,2023-11-13,3,False,713859.6,21198295.351781845,-1004.3151354462343,-1352.4080585852282
SEDG,2023-11-13,2,False,1453082.0,380548117.9521179,356.1882372747105,8.095314135716514
CTOS,2023-11-14,3,True,835300.0,3205739.741244316,1259.1934683017214,640.369413429579
PCT,2023-11-14,3,True,354221.8,15879560.099890232,2564.7124975432116,1945.8884426710692
TKO,2023-11-14,5,True,2849817.6,109023905.15419006,-1060.880676247606,-1679.7047311197487
CRGY,2023-11-15,4,False,302984.43,7464700.934839249,-3.1719876286639277,-782.037248456805
PRGO,2023-11-15,2,True,464790.0,48241176.280231476,-841.8949793388089,-1620.7602401669499
RXO,2023-11-15,3,True,3474156.08,13105674.056863785,1233.4159063385048,454.5506455103637
UTZ,2023-11-15,2,True,306970.8,9119511.544528008,219.39520522191518,-559.4700556062259
WEST,2023-11-15,2,False,470622.75,2069695.332903862,435.1041755638449,-343.7610852642961
BILL,2023-11-16,2,False,1507937.9,352924537.2731972,2034.3762979258918,1448.633909463749
DAR,2023-11-16,3,False,589688.4,112248968.21184158,794.3390506621048,208.59666219996214
HROW,2023-11-16,2,True,261575.0,10438313.866415024,570.2527380319043,-15.489650430238338
MRCY,2023-11-20,2,False,9869827.79,15920438.9731884,133.95993867248475,-623.3439462945729
XRAY,2023-11-20,2,True,594000.0,130573024.59124565,729.1384494859153,-28.165435481142392
CRL,2023-11-21,2,True,1248939.04,122717154.20524597,1699.692231714214,881.8254055110164
RWAY,2023-11-21,2,True,348078.0,3485327.294239998,-509.9910191339946,-1327.857845337192
HTLD,2023-11-22,2,True,1276314.16,4837086.07837677,91.60503300303796,-740.516570341391
ABR,2023-11-24,2,True,549725.0,75605856.05938911,2738.5469361752257,1784.893490686339
KMPR,2023-11-27,2,False,456750.0,14535764.677009583,626.9591393489078,-402.83899936532737
SPB,2023-11-28,2,True,2738724.5,57794336.159324646,1107.8335849790822,193.36866934840268
KYN,2023-11-29,5,False,18023388.44,5543377.603096962,-94.51626712552293,-851.8443672510545
STAA,2023-12-06,2,False,10641621.41,27567315.41191101,-134.04456226775935,-388.48378125508503
CRGY,2023-12-08,2,False,353455.0,12872483.68080616,-164.61405865024085,-270.7359385150631
HTLD,2023-12-13,2,True,4260903.71,3722562.1439552307,-976.5620959993971,-518.6443025790678
MTDR,2023-12-13,5,True,398611.0,63850980.69993973,-512.5422576398573,-54.624464219528015
HRTG,2023-12-15,2,True,499986.12,4042890.1610827446,-947.5641148161257,-521.5233919728973
KNTK,2023-12-15,2,False,1999998.0,13063979.23948288,-436.4461168079558,-10.405393964727436
ADC,2023-12-18,2,True,258960.5,61217210.971279144,-242.2230656232746,340.6530865786708
